"Employee Number","First Name","Last Name","Email","Gross Salary (₦)","PAYE Tax (₦)","NHF Contribution (₦)","Employee Pension (₦)","Net Salary (₦)","Employer Pension (₦)","Payroll Month","Issued Date"
"EMP704","Ifeoma","Okegbenro","ifeoma.okegbenro@company.ng","653,416.67","96,595.31","0.00","39,205.00","517,616.36","49,006.25","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP709","Sola","Iwu","sola.iwu@company.ng","393,037.50","49,602.08","0.00","23,582.25","319,853.17","29,477.81","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP716","Somto","Oyekan","somto.oyekan@company.ng","373,619.83","46,168.71","0.00","22,417.19","305,033.93","28,021.49","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP718","Kachi","Nwachinemere","kachi.nwachinemere@company.ng","394,018.00","49,779.04","0.00","23,641.08","320,597.88","29,551.35","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP727","Ezinne","Chukwu","ezinne.chukwu@company.ng","411,710.83","52,972.24","0.00","24,702.65","334,035.94","30,878.31","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP733","Tobiloba","Chukwunta","tobiloba.chukwunta@company.ng","251,903.08","26,947.20","0.00","15,114.19","209,841.69","18,892.73","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP741","Gbenga","Balogun","gbenga.balogun@company.ng","220,676.33","22,015.87","0.00","13,240.58","185,419.88","16,550.72","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP743","Somto","Akanni","somto.akanni@company.ng","324,233.33","38,369.60","0.00","19,454.00","266,409.73","24,317.50","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP750","Adeola","Owolabi","adeola.owolabi@company.ng","360,929.67","44,164.68","0.00","21,655.78","295,109.21","27,069.73","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP752","Olamide","Ogunjimi","olamide.ogunjimi@company.ng","296,344.58","33,965.40","0.00","17,780.67","244,598.51","22,225.84","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP754","Kachi","Olopade","kachi.olopade@company.ng","628,915.00","92,173.25","0.00","37,734.90","499,006.85","47,168.63","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP765","Taye","Olopade","taye.olopade@company.ng","410,353.25","52,727.22","0.00","24,621.19","333,004.84","30,776.49","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP777","Osagie","Aluko","osagie.aluko@company.ng","339,439.25","40,770.91","0.00","20,366.35","278,301.99","25,457.94","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP783","Oluwatosin","Oluwole","oluwatosin.oluwole@company.ng","736,571.75","111,603.14","0.00","44,194.30","580,774.31","55,242.88","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP786","Oluwafunmilayo","Ogunbanjo","oluwafunmilayo.ogunbanjo@company.ng","337,437.00","40,454.72","0.00","20,246.22","276,736.06","25,307.78","2026-01","Mon Jan 26 2026 11:12:18 GMT+0000 (Greenwich Mean Time)"
"EMP792","Adewale","Nwachinemere","adewale.nwachinemere@company.ng","425,641.92","55,486.52","0.00","25,538.51","344,616.89","31,923.14","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP810","Oluwaseun","Egbuna","oluwaseun.egbuna@company.ng","406,329.25","52,000.97","0.00","24,379.75","329,948.53","30,474.69","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP812","Funke","Chukwu","funke.chukwu@company.ng","745,322.50","113,182.47","0.00","44,719.35","537,420.68","55,899.19","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP814","Omoniyi","Adewale","omoniyi.adewale@company.ng","392,999.42","49,595.20","0.00","23,579.97","319,824.25","29,474.96","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP818","Eniola","Nwokoye","eniola.nwokoye@company.ng","272,077.42","30,133.13","0.00","16,324.65","225,619.64","20,405.81","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP821","Itoro","Nwokoye","itoro.nwokoye@company.ng","299,133.00","34,405.75","0.00","17,947.98","246,779.27","22,434.98","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP823","Bamidele","Chukwu","bamidele.chukwu@company.ng","356,971.25","43,539.57","0.00","21,418.27","292,013.41","26,772.84","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP830","Tolu","Adelaja","tolu.adelaja@company.ng","381,852.67","47,583.44","0.00","22,911.16","311,358.07","28,638.95","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP833","Eromosele","Okegbenro","eromosele.okegbenro@company.ng","202,283.75","19,111.32","0.00","12,137.02","171,035.41","15,171.28","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP836","Sola","Ike","sola.ike@company.ng","393,592.25","49,702.20","0.00","23,615.53","320,274.52","29,519.42","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP847","Ifeoma","Aluko","ifeoma.aluko@company.ng","335,661.25","40,174.29","0.00","20,139.67","275,347.29","25,174.59","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP852","Chidera","Onyekachi","chidera.onyekachi@company.ng","217,238.75","21,473.01","0.00","13,034.32","182,731.42","16,292.91","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP854","Feyisayo","Olorunfemi","feyisayo.olorunfemi@company.ng","454,449.92","60,685.79","0.00","27,266.99","366,497.14","34,083.74","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP858","Somto","Emefiele","somto.emefiele@company.ng","741,336.25","112,463.03","0.00","44,480.17","584,393.05","55,600.22","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP859","Ayobami","Nwokoye","ayobami.nwokoye@company.ng","456,698.75","61,091.66","0.00","27,401.92","368,205.17","34,252.41","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP861","Chimamanda","Okafor","chimamanda.okafor@company.ng","338,851.42","40,678.08","0.00","20,331.09","277,842.25","25,413.86","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP865","Ayoola","Chukwu","ayoola.chukwu@company.ng","263,581.17","28,791.40","0.00","15,814.87","218,974.90","19,768.59","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP869","Ebuka","Egbuna","ebuka.egbuna@company.ng","214,084.67","20,974.92","0.00","12,845.08","180,264.67","16,056.35","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP871","Ijeoma","Okeke","ijeoma.okeke@company.ng","242,147.08","25,406.53","0.00","14,528.83","202,211.72","18,161.03","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP873","Adaeze","Okafor","adaeze.okafor@company.ng","388,756.42","48,829.42","0.00","23,325.39","316,601.61","29,156.73","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP877","Yewande","Akanni","yewande.akanni@company.ng","296,190.50","33,941.07","0.00","17,771.43","244,478.00","22,214.29","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP881","Temiloluwa","Nwachinemere","temiloluwa.nwachinemere@company.ng","318,194.00","37,415.86","0.00","19,091.64","261,686.50","23,864.55","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP883","Yemi","Okorie","yemi.okorie@company.ng","210,680.25","20,437.29","0.00","12,640.81","177,602.15","15,801.02","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP884","Ireti","Adeyemi","ireti.adeyemi@company.ng","410,105.42","52,682.49","0.00","24,606.33","332,816.60","30,757.91","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP888","Tolu","Iwu","tolu.iwu@company.ng","375,384.25","46,447.35","0.00","22,523.05","306,413.85","28,153.82","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP891","Taye","Adediran","taye.adediran@company.ng","230,224.25","23,523.68","0.00","13,813.45","192,887.12","17,266.82","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP896","Ihuoma","Egbuna","ihuoma.egbuna@company.ng","355,477.58","43,303.69","0.00","21,328.65","290,845.24","26,660.82","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP920","Tope","Ogunlolu","tope.ogunlolu@company.ng","612,892.75","89,281.55","0.00","36,773.56","486,837.64","45,966.96","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP925","Somto","Aluko","somto.aluko@company.ng","190,768.75","17,423.71","0.00","11,446.12","161,898.92","14,307.66","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP926","Taye","Adejumo","taye.adejumo@company.ng","381,943.58","47,599.85","0.00","22,916.61","311,427.12","28,645.77","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP928","Yewande","Okegbenro","yewande.okegbenro@company.ng","352,874.58","42,892.62","0.00","21,172.47","288,809.49","26,465.59","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP934","Chidera","Ogunleye","chidera.ogunleye@company.ng","272,289.75","30,166.67","0.00","16,337.38","225,785.70","20,421.73","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP949","Temiloluwa","Nwokoye","temiloluwa.nwokoye@company.ng","264,159.08","28,882.67","0.00","15,849.55","219,426.86","19,811.93","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP950","Ijeoma","Olawale","ijeoma.olawale@company.ng","215,522.25","21,201.94","0.00","12,931.33","181,388.98","16,164.17","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP952","Oluwaseun","Adebanjo","oluwaseun.adebanjo@company.ng","240,803.00","25,194.28","0.00","14,448.18","201,160.54","18,060.23","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP954","Adewale","Adekeye","adewale.adekeye@company.ng","170,214.67","14,486.94","0.00","10,212.88","145,514.85","12,766.10","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP955","Tolu","Ogunlana","tolu.ogunlana@company.ng","218,240.58","21,631.22","0.00","13,094.43","183,514.93","16,368.04","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP960","Kunle","Adebanjo","kunle.adebanjo@company.ng","325,226.58","38,526.45","0.00","19,513.59","267,186.54","24,391.99","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP967","Oluwafunmilayo","Okegbenro","oluwafunmilayo.okegbenro@company.ng","228,230.92","23,208.89","0.00","13,693.85","191,328.18","17,117.32","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP968","Temitope","Adebayo","temitope.adebayo@company.ng","425,413.33","55,445.27","0.00","25,524.80","344,443.26","31,906.00","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP973","Tolu","Ike","tolu.ike@company.ng","281,506.50","31,622.17","0.00","16,890.39","232,993.94","21,112.99","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP975","Ayobami","Akanni","ayobami.akanni@company.ng","290,686.92","33,071.95","0.00","17,441.21","240,173.76","21,801.52","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP977","Segun","Anosike","segun.anosike@company.ng","251,800.08","26,930.94","0.00","15,108.01","209,761.13","18,885.01","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP982","Sopuruchukwu","Agboola","sopuruchukwu.agboola@company.ng","329,094.00","39,137.19","0.00","19,745.64","270,211.17","24,682.05","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP987","Amarachi","Adewuyi","amarachi.adewuyi@company.ng","285,623.67","32,272.36","0.00","17,137.42","236,213.89","21,421.78","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP990","Tobiloba","Onasanya","tobiloba.onasanya@company.ng","316,395.58","37,131.86","0.00","18,983.73","260,279.99","23,729.67","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"HR02","Tyler","Duncan Sotubo","tylertooxclusive@gmail.com","416,666.67","53,866.67","0.00","25,000.00","237,800.00","31,250.00","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"HR09","Marcus","Liadi","whitestonetechlimited@gmail.com","130,000.00","9,164.00","0.00","7,800.00","113,036.00","9,750.00","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
